1719544141976,Gyro data ready!Roll: -32.25	Pitch: 1.01,1
1719544142000,Roll	-32.25	Pitch	1.01,Encoder1: 360.00, Encoder2: 176.97
1719544142041,Gyro data ready!Roll: -32.54	Pitch: 1.02,Encoder1: 360.00, Encoder2: 173.98
1719544142079,Roll	-32.54	Pitch	1.02,Encoder1: 360.00, Encoder2: 176.97
1719544142115,Gyro data ready!Roll: -32.83	Pitch: 1.03,Encoder1: 360.00, Encoder2: 177.05
1719544142149,Roll	-32.83	Pitch	1.03,Encoder1: 360.00, Encoder2: 176.62
1719544142188,Gyro data ready!Roll: -33.12	Pitch: 1.04,Encoder1: 360.00, Encoder2: 176.26
1719544142229,Roll	-33.12	Pitch	1.04,Encoder1: 360.00, Encoder2: 174.42
1719544142262,Gyro data ready!Roll: -33.41	Pitch: 1.05,Encoder1: 360.00, Encoder2: 174.33
1719544142305,Roll	-33.41	Pitch	1.05,Encoder1: 360.00, Encoder2: 175.03
1719544142339,Gyro data ready!Roll: -33.69	Pitch: 1.06,Encoder1: 360.00, Encoder2: 178.90
1719544142379,Roll	-33.69	Pitch	1.06,Encoder1: 360.00, Encoder2: 182.77
1719544142413,Gyro data ready!Roll: -33.98	Pitch: 1.07,Encoder1: 360.00, Encoder2: 174.33
1719544142454,Roll	-33.98	Pitch	1.07,Encoder1: 360.00, Encoder2: 175.65
1719544142486,Gyro data ready!Roll: -34.26	Pitch: 1.08,Encoder1: 360.00, Encoder2: 176.09
1719544142527,Roll	-34.26	Pitch	1.08,Encoder1: 360.00, Encoder2: 175.82
1719544142560,Gyro data ready!Roll: -34.55	Pitch: 1.08,Encoder1: 360.00, Encoder2: 176.00
1719544142601,Roll	-34.55	Pitch	1.08,Encoder1: 360.00, Encoder2: 174.33
1719544142642,Gyro data ready!Roll: -34.83	Pitch: 1.09,Encoder1: 360.00, Encoder2: 176.62
1719544142675,Roll	-34.83	Pitch	1.09,Encoder1: 360.00, Encoder2: 175.82
1719544142716,Gyro data ready!Roll: -35.11	Pitch: 1.10,Encoder1: 360.00, Encoder2: 174.42
1719544142749,Roll	-35.11	Pitch	1.10,Encoder1: 360.00, Encoder2: 174.15
1719544142789,Gyro data ready!Roll: -35.39	Pitch: 1.11,Encoder1: 360.00, Encoder2: 177.05
1719544142830,Roll	-35.39	Pitch	1.11,Encoder1: 360.00, Encoder2: 175.74
1719544142862,Gyro data ready!Roll: -35.67	Pitch: 1.12,Encoder1: 360.00, Encoder2: 180.92
1719544142903,Roll	-35.67	Pitch	1.12,Encoder1: 360.00, Encoder2: 173.98
1719544142936,Gyro data ready!Roll: -35.95	Pitch: 1.13,Encoder1: 360.00, Encoder2: 174.68
1719544142976,Roll	-35.95	Pitch	1.13,Encoder1: 360.00, Encoder2: 175.74
1719544143017,Gyro data ready!Roll: -36.23	Pitch: 1.14,Encoder1: 360.00, Encoder2: 176.26
1719544143052,Roll	-36.23	Pitch	1.14,Encoder1: 360.00, Encoder2: 174.42
1719544143085,Gyro data ready!Roll: -36.50	Pitch: 1.15,Encoder1: 360.00, Encoder2: 174.51
1719544143125,Roll	-36.50	Pitch	1.15,Encoder1: 360.00, Encoder2: 174.24
1719544143167,Gyro data ready!Roll: -36.78	Pitch: 1.15,Encoder1: 360.00, Encoder2: 174.59
1719544143199,Roll	-36.78	Pitch	1.15,Encoder1: 360.00, Encoder2: 175.91
1719544143242,Gyro data ready!Roll: -37.05	Pitch: 1.16,Encoder1: 360.00, Encoder2: 174.59
1719544143275,Roll	-37.05	Pitch	1.16,Encoder1: 360.00, Encoder2: 175.82
1719544143313,Gyro data ready!Roll: -37.32	Pitch: 1.17,Encoder1: 360.00, Encoder2: 174.59
1719544143353,Roll	-37.32	Pitch	1.17,Encoder1: 360.00, Encoder2: 175.65
1719544143387,Gyro data ready!Roll: -37.60	Pitch: 1.18,Encoder1: 360.00, Encoder2: 175.30
1719544143427,Roll	-37.60	Pitch	1.18,Encoder1: 360.00, Encoder2: 175.03
1719544143461,Gyro data ready!Roll: -37.87	Pitch: 1.19,Encoder1: 360.00, Encoder2: 176.79
1719544143505,Roll	-37.87	Pitch	1.19,Encoder1: 360.00, Encoder2: 174.33
1719544143539,Gyro data ready!Roll: -38.14	Pitch: 1.20,Encoder1: 360.00, Encoder2: 173.45
